date,BBL_ret,KBANK_ret,KKP_ret,KTB_ret,SCB_ret,TISCO_ret,TTB_ret,XLF_ret,EUFN_ret,USDTHB_ret,SET_ret
2022-05-13,-0.023716570354683695,-0.03460556534112032,-0.014337165703427126,-0.013698890639131999,-0.05431207761332144,-0.011142201436171213,-0.0398459401582419,-0.03545137285641505,0.01066982063724433,0.012487298966363462,-0.02812911924464899
2022-05-20,0.01192851923327999,0.01745256880900293,0.014337165703427163,0.02721257310779537,0.03653383494546869,0.0027970654775788615,0.008097216758770101,-0.018360133658486988,0.01927076198193995,-0.010244926741072267,0.024052284131797837
2022-05-27,0.023438761501402852,0.013745960221257203,0.007092299889781828,0.006689051360423203,-0.0044945798950732085,0.002789379728294865,0.016000232553351014,0.07742207575048662,0.06439389940986442,-0.004665135211852251,0.009688305271158463
2022-06-03,0.0,0.0,0.010544809896430415,0.0,-0.004514584339786446,0.011080587032746468,-0.016000232553350896,-0.019875729396732985,-0.02415057709378021,0.0005843474085330055,0.005428439292996119
2022-06-10,0.03788317406763213,0.02027076243441645,-0.06500484433109846,0.05195975331910871,0.009009164234859576,-0.013869966761041389,0.02390553981536239,-0.06946402745462814,-0.07451599704313214,0.009216426131039757,-0.009176112021331033
2022-06-17,0.01109070735296336,0.0033389114074005373,-0.04972340768499942,-0.012738990201722212,-0.05058548691367538,0.002789379728294865,-0.007905307262011444,-0.05043606533128562,-0.020101186894040876,0.01299614770715383,-0.04589135482378178
2022-06-24,-0.022305729142719763,-0.013422865136226661,-0.01581068843138149,-0.012903447418951995,-0.019048395152359347,-0.002789379728294847,-0.02409744931212096,0.04989469893384602,0.026918695571790708,0.01356243315084626,0.005990776061035882
2022-07-01,0.007490546078090288,0.023373226013391837,0.007936709126241639,0.012903447418952139,0.0047961722634930135,-0.011235982566559805,-0.008163128993275672,-0.014326144089599473,-0.028188551103816493,-0.004519266584088068,0.0024893351957378813
2022-07-08,-0.0341586983559658,-0.05425062224662401,-0.01996078506878608,-0.04590981447780962,-0.05659561390399391,-0.022858191119465143,-0.041847267639294555,0.006254025231392697,-0.02248725076283781,0.020926537956541685,-0.009455339275584073
2022-07-15,-0.019493975660150938,-0.024692550206386603,-0.020367347079911988,-0.027212573107795342,-0.04929667523086796,0.0028860416585340847,-0.04367496183428707,-0.009395446381545696,-0.044510794713765074,0.0126446126785086,-0.015851576124706755
2022-07-22,0.03481983052761408,0.0,0.036367611993649324,0.0666914368148645,0.03141630561099463,0.01146141052181618,0.0436749618342872,0.030065510245694857,0.033403150820002676,0.006058808662863396,0.012546735022001036
2022-07-29,0.00757580773178637,0.04196418868245441,0.04272499241498548,0.02547909271349311,0.045347815129205576,0.008510738939114883,0.02531782761680449,0.02889145150754129,0.04307973703793858,-0.010036060385284776,0.015135472146051843
2022-08-05,0.011257035756716266,0.006825985362434244,0.018832914730202578,0.006269595779513572,0.01951270969521968,0.011235982566559735,-0.025317827616804508,-0.00059327567504874,0.011886200044728127,-0.015650167555451466,0.015534494384336687
2022-08-12,0.014815183064629577,0.01351375893366155,0.003724436913784139,0.012422636523638939,0.014388838496183175,0.005571231828666456,0.02531782761680449,0.05402042277499383,0.03962727213997796,-0.01746028383439467,0.013135618845387692
2022-08-19,0.0036696673180050513,0.03300626567891925,0.01841669384216586,0.0,0.0,0.027398864754680202,0.00829880914253005,-0.017016889456430047,-0.05592846685430222,0.01214190531725131,0.0022535916532807117
2022-08-26,0.010929226562932036,0.019293012802100697,0.035846209527517665,0.02439138428695739,0.05105516577094085,0.00539091701816663,0.05623970003147762,-0.03611344997170987,-0.0452566464135267,0.005039212763993953,0.01153281803254276
2022-09-02,-0.01092922656293211,-0.03236513323339218,-0.0035273058487997316,-0.01212140079415708,-0.013667637407360095,-0.005390917018166637,-0.01574849084612102,-0.024922359196639786,-0.010638363459177479,0.02640072163682302,-0.013854209594248091
2022-09-09,-0.003751107898313109,-0.01661738788998262,0.01421075638314019,0.024097486158937892,0.022676801642219805,0.0,0.0160005313648522,0.04372456178700129,0.0533631903446943,-0.009784486000017275,0.019818927373981308
2022-09-16,-0.003724460279642872,-0.006733968318588282,-0.007168542852773549,0.0,-0.06006433000580046,0.01342302333374353,0.0,-0.03856922974861209,0.0012666387270744586,0.014451479598315484,-0.014745973802872037
