date,BBL.BK,KBANK.BK,KKP.BK,KTB.BK,SCB.BK,TISCO.BK,TTB.BK,XLF,EUFN,USDTHB=X,^SET.BK
2022-05-06,104.66191864013672,115.8841781616211,53.85750198364258,11.511042594909668,81.61797332763672,66.13191223144531,0.9964362978935242,32.38568115234375,13.482463836669922,34.29999923706055,1629.5799560546875
2022-05-13,102.20890045166016,111.94253540039062,53.09084701538086,11.354429244995115,77.30335998535156,65.3991470336914,0.9575129747390748,31.25767707824707,13.627089500427246,34.73099899291992,1584.3800048828125
2022-05-20,103.4354019165039,113.91336822509766,53.85750198364258,11.667654991149902,80.17977142333984,65.58232879638672,0.9652976393699646,30.68901824951172,13.892240524291992,34.37699890136719,1622.949951171875
2022-05-27,105.88843536376952,115.49002838134766,54.2408332824707,11.745962142944336,79.82020568847656,65.76551818847656,0.9808668494224548,33.159423828125,14.81624698638916,34.21699905395508,1638.75
2022-06-03,105.88843536376952,115.49002838134766,54.81581878662109,11.745962142944336,79.46066284179688,66.498291015625,0.9652976393699646,32.50686264038086,14.462712287902832,34.23699951171875,1647.6700439453125
2022-06-10,109.97677612304688,117.85498809814452,51.36587142944336,12.372413635253906,80.17977142333984,65.58232879638672,0.9886516332626344,30.32544708251953,13.424182891845703,34.55400085449219,1632.6199951171875
2022-06-17,111.20328521728516,118.24915313720705,48.874244689941406,12.215801239013672,76.22471618652344,65.76551818847656,0.9808668494224548,28.833881378173828,13.157034873962402,35.00600051879883,1559.3900146484375
2022-06-24,108.75027465820312,116.67251586914062,48.10758590698242,12.05918788909912,74.7864990234375,65.58232879638672,0.9575129747390748,30.30903434753418,13.51601505279541,35.48400115966797,1568.760009765625
2022-07-01,109.56793212890624,119.43164825439452,48.49092102050781,12.215801239013672,75.14604949951172,64.84957122802734,0.9497284889221193,29.877918243408203,13.140337944030762,35.32400131225586,1572.6700439453125
2022-07-08,105.88843536376952,113.1250228881836,47.53260040283203,11.667654991149902,71.01122283935547,63.38404083251953,0.91080504655838,30.06536102294922,12.848145484924316,36.07099914550781,1557.8699951171875
2022-07-15,103.84423828125,110.36588287353516,46.57427978515625,11.354429244995115,67.59548950195312,63.56723403930664,0.8718818426132202,29.78420639038086,12.28880500793457,36.52999877929688,1533.3699951171875
2022-07-22,107.52376556396484,110.36588287353516,48.29925155639648,12.137494087219238,69.75279998779297,64.29999542236328,0.91080504655838,30.69328117370605,12.706222534179688,36.75199890136719,1552.72998046875
