source,target,source_node,target_node,correlation,weight,sign,lag_weeks,method
MORTGAGE30US_chg,SCB_ret,MORTGAGE30US,SCB,-0.12541,0.12541,negative,3,lagged_corr_weekly
MORTGAGE30US_chg,TISCO_ret,MORTGAGE30US,TISCO,-0.111724,0.111724,negative,2,lagged_corr_weekly
MORTGAGE30US_chg,TTB_ret,MORTGAGE30US,TTB,-0.117507,0.117507,negative,3,lagged_corr_weekly
VIX_CHANGE,BBL_ret,VIX,BBL,-0.092899,0.092899,negative,4,lagged_corr_weekly
VIX_CHANGE,KBANK_ret,VIX,KBANK,0.068275,0.068275,positive,3,lagged_corr_weekly
VIX_CHANGE,KKP_ret,VIX,KKP,-0.100888,0.100888,negative,1,lagged_corr_weekly
VIX_CHANGE,KTB_ret,VIX,KTB,0.126696,0.126696,positive,2,lagged_corr_weekly
VIX_CHANGE,SCB_ret,VIX,SCB,-0.101412,0.101412,negative,4,lagged_corr_weekly
VIX_CHANGE,TISCO_ret,VIX,TISCO,-0.049245,0.049245,negative,1,lagged_corr_weekly
VIX_CHANGE,TTB_ret,VIX,TTB,-0.069841,0.069841,negative,4,lagged_corr_weekly
US_YIELD_CURVE_chg,BBL_ret,US_YIELD_CURVE,BBL,0.093806,0.093806,positive,2,lagged_corr_weekly
US_YIELD_CURVE_chg,KBANK_ret,US_YIELD_CURVE,KBANK,0.0943,0.0943,positive,4,lagged_corr_weekly
US_YIELD_CURVE_chg,KKP_ret,US_YIELD_CURVE,KKP,-0.070126,0.070126,negative,2,lagged_corr_weekly
US_YIELD_CURVE_chg,KTB_ret,US_YIELD_CURVE,KTB,0.087586,0.087586,positive,1,lagged_corr_weekly
US_YIELD_CURVE_chg,SCB_ret,US_YIELD_CURVE,SCB,-0.098104,0.098104,negative,3,lagged_corr_weekly
US_YIELD_CURVE_chg,TISCO_ret,US_YIELD_CURVE,TISCO,0.070809,0.070809,positive,3,lagged_corr_weekly
US_YIELD_CURVE_chg,TTB_ret,US_YIELD_CURVE,TTB,0.110308,0.110308,positive,2,lagged_corr_weekly
