source,target,rel_type,weight,sign,method,corr_pearson,p_adj,lag_weeks,beta,p_value
EUFN,THAI_BANK_BASKET,CORRELATED_WITH,0.220874,positive,fdr_validated_pearson_weekly,0.220874,0.0029094628978708617,,,
USDTHB,SET,CORRELATED_WITH,0.408966,negative,fdr_validated_pearson_weekly,-0.408966,2.148882592400796e-09,,,
USDTHB,DGS2,CORRELATED_WITH,0.33701,positive,fdr_validated_pearson_weekly,0.33701,1.3898285420008436e-06,,,
USDTHB,DGS10,CORRELATED_WITH,0.374785,positive,fdr_validated_pearson_weekly,0.374785,5.137804269376481e-08,,,
USDTHB,MORTGAGE30US,CORRELATED_WITH,0.238476,positive,fdr_validated_pearson_weekly,0.238476,0.001152367774198625,,,
USDTHB,VIX,CORRELATED_WITH,0.23447,positive,fdr_validated_pearson_weekly,0.23447,0.0014234102602348757,,,
USDTHB,THAI_BANK_BASKET,CORRELATED_WITH,0.280534,negative,fdr_validated_pearson_weekly,-0.280534,9.552495206176558e-05,,,
SET,VIX,CORRELATED_WITH,0.277913,negative,fdr_validated_pearson_weekly,-0.277913,0.00010941886180233195,,,
SET,THAI_BANK_BASKET,CORRELATED_WITH,0.553146,positive,fdr_validated_pearson_weekly,0.553146,1.059255620019097e-17,,,
DGS2,DGS10,CORRELATED_WITH,0.816706,positive,fdr_validated_pearson_weekly,0.816706,4.048112168821279e-51,,,
DGS2,US_YIELD_CURVE,CORRELATED_WITH,0.455758,negative,fdr_validated_pearson_weekly,-0.455758,1.296896478333109e-11,,,
BBL,THAI_BANK_BASKET,PARTIAL_CORRELATED_WITH,0.340206,positive,graphical_lasso_weekly,,,,,
KBANK,THAI_BANK_BASKET,PARTIAL_CORRELATED_WITH,0.280059,positive,graphical_lasso_weekly,,,,,
KKP,THAI_BANK_BASKET,PARTIAL_CORRELATED_WITH,0.310867,positive,graphical_lasso_weekly,,,,,
KTB,THAI_BANK_BASKET,PARTIAL_CORRELATED_WITH,0.318475,positive,graphical_lasso_weekly,,,,,
SCB,THAI_BANK_BASKET,PARTIAL_CORRELATED_WITH,0.32934,positive,graphical_lasso_weekly,,,,,
TISCO,THAI_BANK_BASKET,PARTIAL_CORRELATED_WITH,0.164613,positive,graphical_lasso_weekly,,,,,
TTB,THAI_BANK_BASKET,PARTIAL_CORRELATED_WITH,0.293819,positive,graphical_lasso_weekly,,,,,
XLF,EUFN,PARTIAL_CORRELATED_WITH,0.415456,positive,graphical_lasso_weekly,,,,,
XLF,VIX,PARTIAL_CORRELATED_WITH,0.301602,negative,graphical_lasso_weekly,,,,,
EUFN,VIX,PARTIAL_CORRELATED_WITH,0.253978,negative,graphical_lasso_weekly,,,,,
USDTHB,SET,PARTIAL_CORRELATED_WITH,0.181917,negative,graphical_lasso_weekly,,,,,
DGS2,DGS10,PARTIAL_CORRELATED_WITH,0.643624,positive,graphical_lasso_weekly,,,,,
DGS2,US_YIELD_CURVE,PARTIAL_CORRELATED_WITH,0.329795,negative,graphical_lasso_weekly,,,,,
DGS10,US_YIELD_CURVE,PARTIAL_CORRELATED_WITH,0.188186,positive,graphical_lasso_weekly,,,,,
SET,KTB,LAGGED_CORRELATED_WITH,0.176618,positive,lagged_corr_weekly,,,3.0,,
SET,BBL,INFLUENCES,0.518185,positive,OLS_weekly,,,,0.518185,0.0
SET,KBANK,INFLUENCES,0.538761,positive,OLS_weekly,,,,0.538761,0.0
VIX,KBANK,INFLUENCES,0.039332,negative,OLS_weekly,,,,-0.039332,0.012618
EUFN,KKP,INFLUENCES,0.242567,positive,OLS_weekly,,,,0.242567,0.028742
SET,KKP,INFLUENCES,0.731869,positive,OLS_weekly,,,,0.731869,0.0
SET,KTB,INFLUENCES,0.517113,positive,OLS_weekly,,,,0.517113,2e-06
SET,SCB,INFLUENCES,0.418149,positive,OLS_weekly,,,,0.418149,5e-06
SET,TISCO,INFLUENCES,0.212034,positive,OLS_weekly,,,,0.212034,3e-06
SET,TTB,INFLUENCES,0.502098,positive,OLS_weekly,,,,0.502098,1e-06
