date,BBL.BK,EUFN,KBANK.BK,KKP.BK,KTB.BK,SCB.BK,TISCO.BK,TTB.BK,USDTHB=X,XLF,^SET.BK
2022-05-02,,13.87617015838623,,,,,,,34.18899917602539,32.18059158325195,
2022-05-03,106.2972640991211,14.109179496765137,119.0374755859375,55.96580505371094,11.667654991149902,84.4943618774414,67.0478515625,1.004220724105835,34.46200180053711,32.60009765625,1652.2900390625
2022-05-04,,14.245772361755371,,,,,,,34.31700134277344,33.59757995605469,
2022-05-05,105.47958374023438,13.715472221374512,116.27832794189453,53.857505798339844,11.589348793029785,83.0561752319336,66.68146514892578,1.004220724105835,34.04999923706055,32.61873245239258,1643.300048828125
2022-05-06,104.66191101074219,13.482462882995605,115.88418579101562,53.857505798339844,11.511042594909668,81.61798095703125,66.13191223144531,0.9964362382888794,34.29999923706055,32.385684967041016,1629.5799560546875
2022-05-09,104.25308227539062,13.104825973510742,115.49002838134766,53.28251647949219,11.43273639678955,79.46066284179688,65.39913177490234,1.004220724105835,34.361000061035156,31.61192512512207,1604.489990234375
2022-05-10,105.47958374023438,13.313730239868164,115.88418579101562,54.815818786621094,11.82426929473877,81.25841522216797,66.31509399414062,1.0197902917861938,34.59000015258789,31.332256317138672,1622.780029296875
2022-05-11,104.25308227539062,13.297658920288086,114.7016830444336,54.24083709716797,11.667654991149902,80.89886474609375,65.58233642578125,1.0197902917861938,34.64799880981445,31.043264389038086,1613.3399658203125
2022-05-12,103.02658081054688,13.265522003173828,112.33670043945312,53.857505798339844,11.589348793029785,78.38201141357422,65.76551818847656,0.9886515736579895,34.62699890136719,30.810203552246094,1584.52001953125
2022-05-13,102.20889282226562,13.627089500427246,111.9425277709961,53.090843200683594,11.354429244995117,77.3033676147461,65.39913177490234,0.9575129747390747,34.73099899291992,31.257675170898438,1584.3800048828125
2022-05-16,,13.667264938354492,,,,,,,34.64899826049805,30.996654510498047,
2022-05-17,102.61772918701172,14.06900691986084,113.91336059570312,53.28251647949219,11.276123046875,77.66291046142578,65.39913177490234,0.9652976393699646,34.698001861572266,31.826335906982422,1614.489990234375
